2022-11-22T01:12:51.648Z - [error] - TypeError: Cannot read properties of undefined (reading 'toString')
2022-11-23T01:05:20.173Z - errorInFunction: details() middleware function, requestData: [object Object], errorMsg: {}
2022-11-23T01:08:29.179Z - errorInFunction: details() middleware function, requestBody: {}, errorMsg: {}
2022-11-23T01:09:16.989Z - errorInFunction: details() middleware function, requestBody: {}, errorMsg: {}
2022-11-23T01:09:43.680Z - errorInFunction: details() middleware function, requestBody: {}, errorMsg: {}
2022-11-24T01:10:17.453Z - errorInFunction: details() middleware function, requestBody: {}, errorMsg: {}
2022-11-24T01:11:31.695Z - errorInFunction: details() middleware function, requestBody: {}, errorMsg: {}
2022-11-24T01:11:37.754Z - errorInFunction: details() middleware function, requestBody: {}, errorMsg: {}
2022-11-24T01:11:57.284Z - errorInFunction: details() middleware function, requestBody: {}, errorMsg: {}
2022-11-24T01:14:10.545Z - errorInFunction: details() middleware function, requestBody: {}, errorMsg:  Cannot read properties of undefined (reading 'toString')
2022-11-24T01:15:12.223Z - errorInFunction: details() middleware function, requestBody: {}, errorMsg:  Cannot read properties of undefined (reading 'toString')
2022-11-24T01:16:17.987Z - errorInFunction: details() middleware function, requestBody: {}, errorMsg:  Cannot read properties of undefined (reading 'toString')
